Category,Budgeted Amount (ZMW),Actual Amount (ZMW)
Buya Bamba Seed,1800,1800
Nitrogen Fertiliser,3600,3600
Folia Booster,600,600
Pesticide,600,660
Innoculant,600,600
Fungicide,600,660
Ploughing - Before Harvest,600,800
Land Rent,500,500
Fuel,1650,1607
Transport Mazabuka - Chikankata (Person),150,150
Transport Mazabuka - Chikankata (Load),300,350
Miracle,0,460
Transport Mazabuka (Load),0,125
Transport Chikankata (Load),0,125
Empty Bags,90,90
Transport Chikankata - Mazabuka (Person),150,150
Transport Chikankata - Mazabuka (Load),1350,1350
Ploughing - During Harvest,200,200
Labour - During Harvest,200,200
Council Levy,100,100
Deport Fees,300,300
Extra Hand Labourer,500,500
Food - During Sales,200,250
Transaction Charges - Bank,30,30
Transaction Charges - Withdraw,55,55
